CO_CURSO,NT_GER,QT_ALUNOS,QE_I63,QE_I57,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F,QE_I23_ordinal,NT_GER_PREVISTA
1178662,40.9,43,4.380952380952381,4.571428571428571,0.5909090909090909,0.022727272727272728,0.022727272727272728,0.22727272727272727,0.11363636363636363,0.022727272727272728,3.090909090909091,44.775815890761265
118002,42.4,25,4.0,4.363636363636363,0.4444444444444444,0.1111111111111111,0.037037037037037035,0.2222222222222222,0.14814814814814814,0.037037037037037035,2.5925925925925926,42.237625673906514
1181115,30.819565217391304,46,4.090909090909091,4.2727272727272725,0.6415094339622641,0.018867924528301886,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.03773584905660377,2.830188679245283,31.885856349550007
1181327,42.150000000000006,18,4.166666666666667,4.333333333333333,0.7,0.05,0.05,0.1,0.05,0.05,3.2,40.584115895053266
118336,39.11153846153846,26,4.875,4.625,0.6333333333333333,0.1,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.0,3.0,43.32620288390158
118420,45.91269841269841,63,4.481481481481482,4.555555555555555,0.6764705882352942,0.014705882352941176,0.0,0.10294117647058823,0.19117647058823528,0.014705882352941176,3.0,44.7519914308064
118468,44.695,20,3.9,4.5,0.45,0.05,0.1,0.2,0.15,0.05,3.15,41.33240787808856
1184949,42.425,4,5.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,3.5,40.0364376610752
1185556,34.39555555555555,45,4.2105263157894735,4.052631578947368,0.94,0.0,0.0,0.04,0.02,0.0,2.54,33.177134355068674
1186930,35.98571428571429,28,4.571428571428571,5.0,0.875,0.0,0.0,0.0625,0.03125,0.03125,2.40625,35.18678871041017
1187671,33.2,20,3.4615384615384617,4.230769230769231,0.5238095238095238,0.0,0.047619047619047616,0.23809523809523808,0.19047619047619047,0.0,2.619047619047619,36.47759063489487
1188468,33.775757575757574,33,3.8421052631578947,4.368421052631579,0.7714285714285715,0.0,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.0,2.2285714285714286,34.20390286037398
118994,27.736363636363638,22,4.583333333333333,4.75,0.75,0.08333333333333333,0.125,0.041666666666666664,0.0,0.0,2.5416666666666665,35.72952326879612
1190071,34.21666666666667,66,3.8292682926829267,3.951219512195122,0.5882352941176471,0.058823529411764705,0.014705882352941176,0.3088235294117647,0.029411764705882353,0.0,2.838235294117647,36.61641114701963
1190145,27.7,6,5.0,5.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,3.1666666666666665,40.59135911008209
1190311,33.38125,16,4.666666666666667,4.0,0.9411764705882353,0.0,0.0,0.0,0.058823529411764705,0.0,2.5294117647058822,34.001214780074896
1190440,48.260000000000005,10,4.75,4.5,0.6666666666666666,0.0,0.0,0.25,0.08333333333333333,0.0,3.1666666666666665,47.802953319815025
1191018,43.959375,32,3.625,4.125,0.4,0.08571428571428572,0.02857142857142857,0.2,0.2571428571428571,0.02857142857142857,2.8285714285714287,41.96991952720159
1191217,46.37,10,4.166666666666667,4.333333333333333,0.6666666666666666,0.0,0.0,0.06666666666666667,0.2,0.06666666666666667,2.8,38.04069798033118
1191221,35.5,19,4.25,4.125,0.6,0.1,0.0,0.2,0.1,0.0,2.4,38.03022738686135
1191224,37.044444444444444,9,4.75,4.25,0.7,0.0,0.1,0.1,0.1,0.0,3.0,39.439289575240174
1191268,32.32222222222222,9,3.6666666666666665,3.3333333333333335,0.6363636363636364,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,2.4545454545454546,34.74814162519198
1191646,34.34166666666667,24,5.0,4.8,0.8846153846153846,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,2.923076923076923,35.66112720175663
119321,30.310000000000002,10,4.428571428571429,4.714285714285714,0.8461538461538461,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,2.230769230769231,33.5885489220737
1193782,30.678947368421053,19,5.0,5.0,0.95,0.0,0.05,0.0,0.0,0.0,2.3,33.839470633237376
120018,38.176785714285714,56,5.0,5.0,0.7868852459016393,0.0,0.06557377049180328,0.03278688524590164,0.08196721311475409,0.03278688524590164,2.4918032786885247,36.75999052646938
1203177,31.07,10,3.857142857142857,3.4285714285714284,0.5833333333333334,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,3.3333333333333335,37.7692081752331
1203424,43.009375,32,5.0,4.5,0.78125,0.0,0.09375,0.125,0.0,0.0,2.53125,36.24225561447684
120385,46.768571428571434,35,4.5,4.4375,0.65,0.1,0.05,0.075,0.125,0.0,3.1,43.54917774927954
1204325,37.15,20,4.5,4.75,0.782608695652174,0.0,0.0,0.17391304347826086,0.043478260869565216,0.0,2.6956521739130435,35.905618724976655
1204896,40.37692307692308,13,2.5714285714285716,4.428571428571429,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,3.0,37.7979079121022
1205617,32.81111111111111,9,5.0,5.0,0.9,0.0,0.1,0.0,0.0,0.0,2.3,33.72666169137503
1205761,38.78648648648648,37,3.5714285714285716,4.285714285714286,0.8,0.05,0.025,0.05,0.05,0.025,2.45,33.361658061213035
1206881,36.60909090909091,11,3.125,3.625,1.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,31.980502434419904
120920,36.24444444444445,27,3.25,3.6666666666666665,0.8518518518518519,0.0,0.0,0.14814814814814814,0.0,0.0,2.185185185185185,32.96901073882814
120932,36.02727272727273,11,4.166666666666667,4.5,1.0,0.0,0.0,0.0,0.0,0.0,2.272727272727273,34.07295665892587
121189,44.29090909090909,11,5.0,5.0,0.5333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,2.4,36.79432708814918
1214055,36.59428571428571,35,3.823529411764706,4.411764705882353,0.8205128205128205,0.0,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.02564102564102564,2.4871794871794872,34.15260658058228
1214936,48.64883720930233,43,4.0625,4.5,0.5714285714285714,0.02040816326530612,0.02040816326530612,0.3469387755102041,0.04081632653061224,0.0,3.163265306122449,45.1961269140143
1215466,41.63636363636363,11,3.0,3.2,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,3.0833333333333335,35.763223735409184
