NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;MEDIA_NT_FG
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100075;71;2;10028;4004;1;2411205;24;2;50.61052631578948
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;100105;71;2;10028;4004;1;2408300;24;2;65.41
2014;101942;577;1;10028;4004;1;2700300;27;2;53.25
2014;101942;577;1;10028;4004;1;2700300;27;2;53.25
2014;101942;577;1;10028;4004;1;2700300;27;2;53.25
2014;101942;577;1;10028;4004;1;2700300;27;2;53.25
2014;101942;577;1;10028;4004;1;2700300;27;2;53.25
