NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;MEDIA_NT_FG
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;513;5;1;10028;40;;2211001;22;2;70.3125
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
2005;968;11;5;10028;40;;2611606;26;2;54.44186046511628
