NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;MEDIA_NT_FG;MEDIA_NT_GER;MEDIA_NT_CE
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
2005;317;3;1;10028;40;;2806701;28;2;56.98181818181818;38.725;32.64545454545455
