NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;MEDIA_NT_FG
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;317;3;1;10028;40;;2806701;28;2;58.8235294117647
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;513;5;1;10028;40;;2211001;22;2;59.76923076923077
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
2008;968;11;5;10028;40;;2611606;26;2;50.79203539823009
