CO_CURSO,NT_GER,QT_ALUNOS,QE_I63,QE_I57,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F,QE_I23_ordinal
10059,34.166666666666664,36,4.260869565217392,3.869565217391304,0.6739130434782609,0.0,0.043478260869565216,0.2391304347826087,0.043478260869565216,0.0,2.869565217391304
100684,30.02857142857143,7,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
100816,44.01904761904762,21,4.090909090909091,4.454545454545454,0.5909090909090909,0.0,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.0,3.227272727272727
101318,44.56,10,5.0,5.0,0.8181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,3.090909090909091
101558,42.04090909090909,22,4.666666666666667,3.888888888888889,0.6153846153846154,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.19230769230769232,0.0,3.3461538461538463
10159,26.613333333333333,15,4.142857142857143,4.285714285714286,0.6111111111111112,0.0,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.0,2.611111111111111
101700,34.17777777777778,18,4.666666666666667,5.0,0.7894736842105263,0.0,0.05263157894736842,0.15789473684210525,0.0,0.0,2.736842105263158
101710,35.80769230769231,13,3.6666666666666665,4.5,0.7142857142857143,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,3.142857142857143
101712,39.25833333333333,24,4.222222222222222,4.111111111111111,0.7037037037037037,0.0,0.037037037037037035,0.25925925925925924,0.0,0.0,2.925925925925926
101830,37.089999999999996,20,4.833333333333333,4.666666666666667,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.19047619047619047,0.0,3.2857142857142856
101942,35.676811594202896,69,4.0,4.318181818181818,0.43243243243243246,0.013513513513513514,0.0945945945945946,0.20270270270270271,0.22972972972972974,0.02702702702702703,2.9594594594594597
101984,44.44285714285714,14,3.5555555555555554,4.0,0.5,0.1875,0.0625,0.0,0.1875,0.0625,3.0
102186,23.692857142857143,14,2.25,3.25,0.9333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,2.533333333333333
102590,41.91818181818182,11,3.769230769230769,4.076923076923077,0.47368421052631576,0.0,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.0,3.210526315789474
103062,42.34,35,2.269230769230769,3.769230769230769,0.6410256410256411,0.15384615384615385,0.02564102564102564,0.05128205128205128,0.1282051282051282,0.0,3.2564102564102564
1032473,38.06,5,5.0,5.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,2.3333333333333335
103806,32.6,2,2.0,5.0,0.5,0.0,0.0,0.0,0.5,0.0,3.5
104360,32.11176470588235,17,4.833333333333333,4.5,0.8235294117647058,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,2.823529411764706
104498,25.688888888888886,9,3.5,2.5,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,2.6363636363636362
1047907,34.689473684210526,19,3.4,4.333333333333333,0.875,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,2.5
104836,28.308333333333334,12,4.333333333333333,3.6666666666666665,0.6666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,2.8333333333333335
1050053,37.92,20,3.6666666666666665,4.888888888888889,0.85,0.0,0.05,0.1,0.0,0.0,2.35
10515,37.06666666666667,9,4.0,4.0,0.8461538461538461,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,2.0
105678,36.9,15,4.5,4.0,0.875,0.0,0.0625,0.0,0.0625,0.0,3.125
105728,39.33555555555555,90,4.6,4.4,0.6979166666666666,0.0,0.09375,0.15625,0.041666666666666664,0.010416666666666666,2.2916666666666665
105953,26.2,4,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
106134,48.325,4,3.8,4.8,1.0,0.0,0.0,0.0,0.0,0.0,2.8
106167,36.913953488372094,43,4.0,4.0,0.43478260869565216,0.0,0.13043478260869565,0.1956521739130435,0.2391304347826087,0.0,3.217391304347826
106824,28.15,10,4.5,3.0,0.9,0.0,0.0,0.1,0.0,0.0,2.5
106996,27.101052631578945,95,4.4,4.24,0.6666666666666666,0.00980392156862745,0.09803921568627451,0.11764705882352941,0.06862745098039216,0.0392156862745098,2.7450980392156863
