CO_CURSO,n_notas,area,NT_GER,NT_FG,NT_CE,NT_OBJ_FG,NT_DIS_FG,NT_OBJ_CE,NT_DIS_CE,tx_presenca,ODP,OPORT,INFRA,n_qe,Cluster_ID,PCA_X,PCA_Y
19,21,A30,39.93333333333334,38.03333333333334,40.542857142857144,43.45238095238095,29.904761904761905,43.37142857142857,24.6,0.6176470588235294,5.534816919191919,5.4382124819624815,5.480513468013467,24,2,1.439838262328249,0.11608649485069587
23,22,A07,45.11363636363637,34.25909090909091,48.71818181818182,36.93181818181818,30.25,49.39545454545455,44.90909090909091,0.88,5.741287878787879,5.427272727272728,5.420536534172897,22,2,2.253296349252395,0.2210864232843535
25,21,A20,44.03809523809524,32.766666666666666,47.785714285714285,38.69047619047619,23.88095238095238,52.15714285714286,23.004761904761907,0.7,5.221346535409036,4.843208180708181,5.082175925925926,24,1,-0.15111981213561232,0.27497684704495695
29,29,A12,44.827586206896555,41.33103448275862,45.97586206896552,46.55172413793103,33.5,49.6551724137931,25.06206896551724,0.9354838709677419,5.192338709677419,4.848873527905786,4.910980775496904,31,1,-0.025973561383592476,0.9476447631384286
36,36,A14,39.71388888888889,38.84166666666667,39.980555555555554,51.041666666666664,20.541666666666668,43.86388888888889,17.958333333333332,0.8780487804878049,4.176193433759223,3.9067868534973798,4.427950558213716,38,0,-3.790349390590114,0.5603175498253793
127,85,A14,48.95294117647059,45.08941176470588,50.21529411764706,58.8235294117647,24.488235294117647,53.06470588235294,34.05882352941177,0.7589285714285714,4.299400681826424,4.437956350580113,4.727548111954053,101,1,-2.46124614126201,1.9470652318737318
133,26,A08,48.55,37.76923076923077,52.13461538461539,49.03846153846154,20.865384615384617,52.71153846153846,48.8423076923077,0.7027027027027027,4.858779761904762,4.767447433518862,4.464393939393939,28,1,-1.4987675679830952,1.3218922007833855
142,99,A30,49.38282828282828,40.00808080808081,52.4929292929293,53.282828282828284,20.095959595959595,57.25757575757576,25.46868686868687,0.8461538461538461,5.116781135531136,4.773048746125669,5.218577256077255,104,1,0.08725441218290851,1.3169274415619254
150,146,A07,52.99109589041096,41.71917808219178,56.72671232876713,49.486301369863014,30.068493150684933,56.792465753424665,56.33835616438356,0.863905325443787,5.257325708061002,4.933672391515529,5.040234039743844,153,1,0.42927983230522937,1.826431578417637
151,41,A03,57.88780487804878,45.81463414634147,61.90731707317073,54.26829268292683,33.13414634146341,65.65121951219511,40.609756097560975,0.7592592592592593,4.996184371184371,4.606999666999667,4.396806958473625,45,1,-1.3288957635304222,2.917901696703452
158,26,A23,46.05,44.37692307692308,46.58846153846154,55.76923076923077,27.28846153846154,48.83076923076923,33.85,0.7222222222222222,4.631298003072197,4.5161730742375905,4.724291300097751,31,1,-1.9616256940910706,1.5610897594168796
159,40,A28,48.6375,45.495,49.6625,50.625,37.8,51.75,37.8275,0.7017543859649122,5.2903622087132725,4.904293933017337,5.277369439071567,47,1,0.33435200799449566,1.6960119248998977
160,158,A12,57.641772151898735,52.82848101265822,59.22974683544303,56.09177215189873,47.93354430379747,62.879746835443036,38.483544303797466,0.8315789473684211,5.137766597308017,4.760832839087278,5.1630057976211825,169,1,0.14059169860157975,3.205530534126769
161,20,A24,50.315,44.19,52.335,55.0,27.975,55.42999999999999,34.75,0.8695652173913043,4.607142857142857,4.491748727463013,4.87926887926888,21,1,-1.4948586040650056,1.8897796735848538
162,76,A09,49.53684210526316,39.70263157894737,52.79736842105263,49.3421052631579,25.24342105263158,56.31578947368421,32.80657894736842,0.6551724137931034,5.267791005291006,4.8504927171593835,5.099836103539807,81,1,-0.026576386716305102,1.4073607597326772
163,69,A07,50.67971014492754,39.075362318840575,54.527536231884056,48.91304347826087,24.318840579710145,58.2927536231884,33.16086956521739,0.7931034482758621,5.345825396825397,5.038543308543309,5.072671957671957,75,1,0.6003746913236438,1.3855815855597318
297,83,A24,45.850602409638554,36.49036144578313,48.96265060240964,44.7289156626506,24.132530120481928,50.64939759036144,39.39638554216867,0.83,5.318969572094573,5.068774596615506,5.004298668503214,88,1,0.48012253759818874,0.6736549207845695
311,51,A20,46.254901960784316,37.029411764705884,49.32156862745098,44.85294117647059,25.294117647058822,53.29607843137255,26.796078431372546,0.6986301369863014,4.883974358974359,4.701433075471537,4.735766317016317,52,1,-1.2806351740066915,0.9701049398320638
315,72,A07,48.10277777777778,35.80555555555556,52.18333333333333,36.111111111111114,35.34722222222222,50.662499999999994,60.8111111111111,0.8181818181818182,5.4366111111111115,5.162671994671994,5.154956228956229,75,1,1.022873107274236,0.8058655187114911
317,82,A14,41.98170731707317,39.869512195121956,42.66463414634146,51.676829268292686,22.158536585365855,46.72439024390244,19.653658536585365,0.8282828282828283,4.890574229691877,4.8174447121505946,4.49558696205755,85,0,-1.2919663222500275,0.717018809963906
318,41,A26,41.958536585365856,39.69268292682927,42.69512195121951,51.21951219512195,22.402439024390244,40.88292682926829,52.93170731707317,0.7192982456140351,4.930453854655982,4.636752963348708,4.4396387891068745,47,0,-1.7480995518347338,0.7823140738917072
322,23,A10,31.452173913043477,39.23913043478261,28.856521739130436,46.19565217391305,28.804347826086957,29.782608695652176,23.62608695652174,0.92,4.907112332112332,4.806032162282162,4.640458152958153,24,0,-1.1960173183747955,-0.5140876314211734
