CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F
19360,35.21515151515151,0.0,0.02857142857142857,0.11428571428571428,0.11428571428571428,0.22857142857142856,0.5142857142857142,0.0,0.0,0.9142857142857143,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.0
19437,44.44166666666666,0.04,0.0,0.0,0.12,0.32,0.48,0.04,0.0,0.68,0.0,0.12,0.12,0.08,0.0
19505,35.12857142857143,0.043478260869565216,0.043478260869565216,0.0,0.21739130434782608,0.21739130434782608,0.391304347826087,0.043478260869565216,0.043478260869565216,0.9565217391304348,0.0,0.0,0.0,0.043478260869565216,0.0
19508,34.776315789473685,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.47619047619047616,0.023809523809523808,0.0,0.7619047619047619,0.023809523809523808,0.07142857142857142,0.07142857142857142,0.023809523809523808,0.047619047619047616
19510,32.676923076923075,0.07142857142857142,0.0,0.0,0.35714285714285715,0.14285714285714285,0.42857142857142855,0.0,0.0,0.7857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0
19517,27.50740740740741,0.13333333333333333,0.06666666666666667,0.0,0.3,0.26666666666666666,0.2,0.0,0.03333333333333333,0.8666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
19521,30.04259259259259,0.03278688524590164,0.01639344262295082,0.14754098360655737,0.09836065573770492,0.2786885245901639,0.4262295081967213,0.0,0.0,0.8064516129032258,0.0,0.06451612903225806,0.08064516129032258,0.016129032258064516,0.03225806451612903
19525,32.82380952380952,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.2727272727272727,0.0,0.045454545454545456,1.0,0.0,0.0,0.0,0.0,0.0
19548,26.48709677419355,0.0,0.12162162162162163,0.13513513513513514,0.2702702702702703,0.25675675675675674,0.16216216216216217,0.04054054054054054,0.013513513513513514,0.8918918918918919,0.013513513513513514,0.04054054054054054,0.013513513513513514,0.02702702702702703,0.013513513513513514
19558,27.08857142857143,0.1951219512195122,0.07317073170731707,0.07317073170731707,0.2682926829268293,0.17073170731707318,0.21951219512195122,0.0,0.0,0.9024390243902439,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0
19595,46.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19641,28.382978723404257,0.019801980198019802,0.039603960396039604,0.1188118811881188,0.18811881188118812,0.26732673267326734,0.2871287128712871,0.0594059405940594,0.019801980198019802,0.9108910891089109,0.0,0.019801980198019802,0.039603960396039604,0.019801980198019802,0.009900990099009901
19799,38.41372549019608,0.03636363636363636,0.0,0.0,0.0,0.2727272727272727,0.6545454545454545,0.03636363636363636,0.0,0.7818181818181819,0.01818181818181818,0.05454545454545454,0.05454545454545454,0.09090909090909091,0.0
19881,43.84615384615385,0.0,0.0,0.0,0.2,0.26666666666666666,0.5333333333333333,0.0,0.0,0.7333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0
19910,24.62857142857143,0.03125,0.03125,0.0625,0.25,0.1875,0.4375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19931,22.616666666666664,0.08333333333333333,0.0,0.0,0.25,0.25,0.4166666666666667,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.08333333333333333
19990,39.74615384615385,0.0,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.5714285714285714,0.0,0.0,0.8571428571428571,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0
20030,34.51311475409836,0.015384615384615385,0.0,0.046153846153846156,0.16923076923076924,0.3230769230769231,0.4461538461538462,0.0,0.0,0.8,0.015384615384615385,0.06153846153846154,0.07692307692307693,0.03076923076923077,0.015384615384615385
20041,27.417441860465118,0.041237113402061855,0.061855670103092786,0.030927835051546393,0.14432989690721648,0.21649484536082475,0.4536082474226804,0.041237113402061855,0.010309278350515464,0.9381443298969072,0.0,0.020618556701030927,0.041237113402061855,0.0,0.0
20065,43.665151515151514,0.0273972602739726,0.0547945205479452,0.0547945205479452,0.2054794520547945,0.3424657534246575,0.2876712328767123,0.0136986301369863,0.0136986301369863,0.7123287671232876,0.0136986301369863,0.0273972602739726,0.1232876712328767,0.1232876712328767,0.0
20130,38.800000000000004,0.0,0.0,0.0,0.0,0.5,0.375,0.125,0.0,0.875,0.0,0.0,0.125,0.0,0.0
20239,45.13333333333333,0.0,0.0,0.0,0.2,0.26666666666666666,0.5333333333333333,0.0,0.0,0.7666666666666667,0.1,0.0,0.06666666666666667,0.06666666666666667,0.0
20355,28.799999999999997,0.0,0.0,0.0,0.3,0.1,0.5,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20361,41.1,0.0,0.0,0.0,0.05,0.3,0.65,0.0,0.0,0.25,0.0,0.15,0.3,0.3,0.0
20415,27.900000000000002,0.1,0.0,0.1,0.16666666666666666,0.26666666666666666,0.36666666666666664,0.0,0.0,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,0.0
20466,35.68695652173913,0.13043478260869565,0.0,0.08695652173913043,0.21739130434782608,0.17391304347826086,0.391304347826087,0.0,0.0,0.782608695652174,0.043478260869565216,0.0,0.08695652173913043,0.08695652173913043,0.0
20469,37.11333333333334,0.0,0.0,0.13157894736842105,0.10526315789473684,0.2894736842105263,0.47368421052631576,0.0,0.0,0.6578947368421053,0.02631578947368421,0.05263157894736842,0.18421052631578946,0.05263157894736842,0.02631578947368421
20477,39.37826086956522,0.0,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.1836734693877551,0.7142857142857143,0.0,0.0,0.8367346938775511,0.0,0.04081632653061224,0.10204081632653061,0.02040816326530612,0.0
20512,37.2625,0.0,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364,0.0,0.0,0.8181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0
20588,47.81785714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6428571428571429,0.0,0.03571428571428571,0.17857142857142858,0.14285714285714285,0.0
